name,pubchem_cid,group,drug_class,formula,canonical_smiles,InChIKey,MW,N_HeavyAtoms,LogP,PSA,HBA,HBD,RBC,NOR,AromRings,Fraction_Csp3,Polarizability_alpha,E_HOMO,E_LUMO,Gap_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega,Real_Vina_Score_kcal_mol,Ligand_Efficiency,Delta_E_ads_Pristine_kcal_mol,Delta_E_ads_Doped_kcal_mol
MRTX1133,156124857,Group A - Direct KRAS-G12D,Direct KRAS-G12D Allosteric Inhibitor,C33H31F3N6O2,C#CC1=C(C=CC2=CC(=CC(=C21)C3=NC=C4C(=C3F)N=C(N=C4N5CC6CCC(C5)N6)OC[C@@]78CCCN7C[C@@H](C8)F)O)F,SCLLZBIBSFTLIN-IFMUVJFISA-N,600.65,44,4.71,86.64,8,2,5,8,4,0.424,185.18,-9.6181,-8.4666,1.151451361387,0.5758,0.424,9.0423,-9.0423,71.0066,-8.06,0.183,-35.03,-35.04
BI-2865,168268166,Group A - Direct KRAS-G12D,Pan-KRAS / G12D Inactive-State Inhibitor,C23H27N7O2S,C[C@@H]([C@@H]1CCCN1C)OC2=NC(=NC=C2)C3=NOC(=N3)[C@]4(CCCC5=C4C(=C(S5)N)C#N)C,MIUFORKWYHBPRW-HMFCALDFSA-N,465.58,33,3.55,126.98,10,1,5,5,3,0.522,143.19,-9.4027,-7.9576,1.445113955006,0.7225,0.389,8.6801,-8.6801,52.1383,-8.46,0.256,-21.25,-21.58
RMC-6236,164726578,Group A - Direct KRAS-G12D,RAS-MULTI (ON) Multi-Selective Inhibitor,C44H58N8O5S,CCN1C2=C3C=C(C=C2)C4=CSC(=N4)C[C@@H](C(=O)N5CCC[C@H](N5)C(=O)OCC(CC3=C1C6=C(N=CC(=C6)N7CCN(CC7)C)[C@H](C)OC)(C)C)NC(=O)[C@H]8C[C@@H]8C,FVICRBSEYSHKFY-JYQNNKODSA-N,811.07,58,5.61,134.16,11,2,7,8,4,0.568,245.15,-9.6911,-7.2551,2.435995041423,1.218,0.382,8.4731,-8.4731,29.4718,-3.38,0.058,-29.51,-29.58
HRS-4642,171853615,Group A - Direct KRAS-G12D,Direct KRAS-G12D Selective Inhibitor,C34H35F3N6O3,CCC1=C(C=CC2=CC(=CC(=C21)C3=C(C4=C5C(=NC(=N4)OC[C@@]67CCCN6C[C@@H](C7)F)N8C[C@H]9CC[C@@H]([C@H]8COC5=N3)N9)F)O)F,XLWBILUNGOIIFR-OWBPVYLJSA-N,632.69,46,5.05,95.87,9,2,5,9,4,0.5,194.32,-9.9288,-7.9751,1.953633525927,0.9769,0.413,8.952,-8.952,41.0183,-7.58,0.165,-21.63,-21.87
JDQ-443,156501355,Group A - Direct KRAS-G12D,Switch II Pocket Allosteric Inhibitor,C29H28ClN7O,CC1=CC2=C(C=NN2)C(=C1Cl)C3=C(N(N=C3C4=CC5=C(C=C4)N(N=C5)C)C6CC7(C6)CN(C7)C(=O)C=C)C,AZUYLZMQTIKGSC-UHFFFAOYSA-N,526.04,38,5.6,84.63,4,1,4,7,5,0.31,167.42,-9.8659,-7.2056,2.660320386106,1.3302,0.438,8.5358,-8.5358,27.3875,-7.68,0.202,-19.83,-20.04
Sotorasib,137278711,Group B - Mutation-Selective / Pan-RAS,KRAS-G12C Covalent Inhibitor,C30H30F2N6O3,C[C@H]1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C,NXQKSXLFSAEQCZ-SFHVURJKSA-N,560.61,41,4.48,104.45,7,1,5,5,4,0.3,173.77,-10.215,-8.7866,1.428341211876,0.7142,0.414,9.5008,-9.5008,63.1932,-5.86,0.143,-21.02,-21.14
Adagrasib,138611145,Group B - Mutation-Selective / Pan-RAS,KRAS-G12C Covalent Inhibitor,C32H35ClFN7O2,CN1CCC[C@H]1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN([C@H](C6)CC#N)C(=O)C(=C)F,PEMUGDMSUDYLHU-ZEQRLZLVSA-N,604.13,43,4.73,88.83,8,0,7,6,3,0.438,182.68,-9.6027,-7.8881,1.714544371784,0.8573,0.399,8.7454,-8.7454,44.6063,-6.9,0.161,-26.67,-27.34
BI-2852,138756246,Group B - Mutation-Selective / Pan-RAS,Switch I/II Pan-KRAS Inhibitor,C31H28N6O2,CN1C=C(N=C1)CN2C=CC3=C2C=C(C=C3)CNCC4=C(C5=CC=CC=C5N4)[C@@H]6C7=C(C=CC(=C7)O)C(=O)N6,JYEQLXOWWLNVDX-PMERELPUSA-N,516.61,39,4.73,99.9,4,4,7,7,6,0.161,168.23,-9.6976,-6.7377,2.959948825939,1.4799,0.466,8.2176,-8.2176,22.8149,-8.78,0.225,-11.94,-12.23
MRTX1719,156151242,Group B - Mutation-Selective / Pan-RAS,PRMT5-MTA Synthetic Lethal Inhibitor,C23H18ClFN6O2,CN1C(=C(C=N1)C2=CC3=C(C=C2)C(=O)NN=C3CN)C4=C(C(=CC(=C4F)Cl)OC5CC5)C#N,BZKIOORWZAXIBA-UHFFFAOYSA-N,464.89,33,3.65,122.61,6,2,5,5,4,0.217,146.49,-10.5594,-8.2904,2.269037943815,1.1345,0.412,9.4249,-9.4249,39.1488,-5.86,0.178,-21.06,-22.92
RMC-7977,164726623,Group B - Mutation-Selective / Pan-RAS,RAS-MULTI (ON) Tri-Complex Inhibitor,C47H60N8O6S,CCN1C2=C3C=C(C=C2)C4=CSC(=N4)C[C@@H](C(=O)N5CCC[C@H](N5)C(=O)OCC(CC3=C1C6=C(N=CC(=C6)N7CCN(CC7)C8CC8)[C@H](C)OC)(C)C)NC(=O)C9[C@H]1[C@@H]9COC1,NBLZKEHVVJSAAY-UDSCPAMHSA-N,865.11,62,5.38,143.39,12,2,8,10,4,0.596,260.56,-9.6398,-7.0155,2.624279991438,1.3121,0.379,8.3277,-8.3277,26.426,-4.69,0.076,-30.77,-30.83
