name,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,E_HOMO,E_LUMO,Gap_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega,Real_Vina_Docking_Score_kcal_mol,Target_DeltaG_bind
MRTX1133,Direct KRAS-G12D Non-Covalent Inhibitor,DB18011,CN1CCN(CC1)C2=C(F)C=C(NC3=NC=C(F)C(=C3)C4=C(F)C=C(F)C(=C4)N5CCCC5)C=C2,485.529,5.401,-6.367,0.2087,5,1,34.64,5,5,3,201.53,0.346,-6.31,-1.924,4.386,2.193,0.228,4.117,-4.117,3.865,-9.159,-9.159
Sotorasib,KRAS-G12C Covalent Inhibitor,DB15579,CC(C)C1=NC(=C(C(=N1)C2=C(C=CC(=C2F)F)Cl)N3CCN(CC3)C(=O)C=C)C4=C(C=CC=C4F)F,518.942,5.978,-7.049,0.0464,4,0,49.33,5,4,3,210.585,0.269,-6.526,-2.097,4.429,2.215,0.2258,4.311,-4.311,4.196,-5.108,-5.108
Adagrasib,KRAS-G12C Covalent Inhibitor,DB15243,CC1=NC=C(C(=C1)C2=C(C=CC(=C2F)Cl)F)N3CCN(CC3)C(=O)C4=C(N=CC=C4)NC5CCN(CC5)C,541.046,4.852,-6.365,0.2333,6,1,64.6,5,5,3,225.978,0.393,-6.2,-1.756,4.444,2.222,0.225,3.978,-3.978,3.561,-7.148,-7.148
BI-2865,Pan-KRAS Non-Covalent Inhibitor,DB18102,CC1=CN=C(C(=C1)C2=CC(=CC=C2F)F)NC3=NC=CC(=N3)N4CCN(CC4)C(=O)C5=CC=CC=C5F,504.516,4.97,-6.361,0.2196,6,1,74.25,5,5,4,211.173,0.185,-6.284,-1.845,4.439,2.219,0.2253,4.065,-4.065,3.722,-9.943,-9.943
RMC-6236,RAS-MULTI (ON) Inhibitor,DB18205,CC(C)N1CCN(CC1)C2=NC=C(C(=N2)C3=CC=C(F)C=C3)NC4=NC=CC(=C4)C5=CC=CC=N5,469.568,5.014,-6.106,0.3679,7,1,70.07,6,5,4,204.265,0.259,-6.293,-1.772,4.521,2.26,0.2212,4.032,-4.032,3.597,-8.41,-8.41
Gemcitabine,Antimetabolite (PDAC Standard),DB00441,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,263.2,-1.289,-0.898,33286.3162,6,3,110.6,2,2,1,99.434,0.556,-4.652,-0.634,4.018,2.009,0.2489,2.643,-2.643,1.738,-6.946,-6.946
Capecitabine,Fluoropyrimidine Antimetabolite,DB01101,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]2O[C@H](C)[C@@H](O)[C@H]2O,359.354,0.76,-2.521,1082.9379,7,3,122.91,6,2,1,142.943,0.667,-5.062,-0.882,4.18,2.09,0.2392,2.972,-2.972,2.113,-7.706,-7.706
Fluorouracil,Thymidylate Synthase Inhibitor,DB00544,O=C1NC(=O)C(F)=CN1,130.078,-0.798,-0.884,16993.3362,2,2,65.72,0,1,1,48.359,0.0,-4.85,-1.032,3.818,1.909,0.2619,2.941,-2.941,2.266,-5.088,-5.088
Irinotecan,Topoisomerase I Inhibitor,DB00762,CCN1CCN(C(=O)OC2=CC3=C(C=C2)N=C4C5=C3CN4C(=O)C6(CC)C(O)=C(C(=O)OCC56)O)CC1,508.531,2.596,-4.677,10.7021,9,2,132.74,3,6,2,212.403,0.462,-5.589,-1.085,4.504,2.252,0.222,3.337,-3.337,2.473,-6.651,-6.651
Erlotinib,EGFR TKI (Approved with Gemcitabine),DB00530,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,393.443,3.405,-4.505,12.3119,7,1,74.73,10,3,3,169.532,0.273,-5.911,-1.445,4.466,2.233,0.2239,3.678,-3.678,3.029,-7.644,-7.644
Olaparib,PARP1 Inhibitor (BRCA-mutated PDAC),DB00945,O=C(c1cc(Cc2c3ccccc3nn2C(=O)O)ccc1F)N4CCN(C(=O)C5CC5)CC4,450.47,2.987,-4.695,9.1019,4,1,95.74,4,5,3,188.744,0.333,-5.827,-1.618,4.209,2.105,0.2376,3.723,-3.723,3.292,-7.849,-7.849
Rucaparib,PARP1/2 Inhibitor,DB12330,CNCC1=CC=C(C=C1)C2=C3C4=C(C=C2)NCC4=C(N3)C(=O)N,306.369,2.579,-3.655,67.7918,3,4,82.94,4,4,3,133.434,0.167,-5.446,-1.633,3.813,1.907,0.2623,3.539,-3.539,3.285,-8.378,-8.378
Talazoparib,Potent PARP Inhibitor,DB11760,CC(C)N1C(=O)C2=C(N1)C=C(F)C(=C2)C3C4=C(C=CC(=C4)F)N=C5N3N=CC5,381.386,4.013,-5.045,3.4392,4,1,65.75,2,5,3,158.334,0.25,-6.033,-1.782,4.251,2.125,0.2353,3.907,-3.907,3.592,-7.615,-7.615
Niraparib,PARP1/2 Inhibitor,DB12341,NC(=O)C1=CC=C(C=C1)N2N=C(C3=CC=CC=C23)C4CCNC4,306.369,2.201,-3.483,100.6791,3,2,72.94,3,4,3,133.648,0.222,-5.57,-1.572,3.998,1.999,0.2501,3.571,-3.571,3.19,-8.349,-8.349
Trametinib,MEK1/2 Inhibitor,DB08911,Cc1c(Nc2ccc(I)cc2F)c(=O)n(C)c(=O)n1c3ccc(NC(=O)C)cc3F,526.281,3.429,-5.739,0.9588,4,2,85.13,4,3,3,183.042,0.15,-5.816,-1.689,4.127,2.064,0.2423,3.752,-3.752,3.411,-8.119,-8.119
Cobimetinib,MEK Inhibitor,DB09065,OC1(CCNCC1)C(=O)Nc2c(F)cc(I)c(F)c2Nc3ccc(F)c(I)c3,617.147,4.11,-6.485,0.2021,4,4,73.39,4,3,2,186.298,0.278,-5.692,-1.728,3.964,1.982,0.2522,3.71,-3.71,3.471,-6.693,-6.693
Selumetinib,MEK1/2 Inhibitor,DB11640,CN1C=NC2=C1C=C(NC3=C(F)C=C(Br)C=C3)C(C(=O)NO)=C2Cl,413.634,3.991,-5.461,1.4316,4,3,79.18,3,3,3,148.885,0.067,-5.828,-1.779,4.05,2.025,0.2469,3.803,-3.803,3.572,-7.307,-7.307
Binimetinib,MEK1/2 Inhibitor,DB11874,CC1=NC2=C(N1)C=C(NC3=C(F)C=C(I)C=C3)C(=C2F)C(=O)NOC,458.206,3.789,-5.544,1.3097,4,3,79.04,4,3,3,154.616,0.125,-5.788,-1.746,4.042,2.021,0.2474,3.767,-3.767,3.511,-6.91,-6.91
SHP099,Allosteric SHP2 Inhibitor,DB15234,CC1=C(C(=CC=C1)Cl)N2C(=NC(=C2N)Cl)C3=CN=CC=C3,319.195,4.132,-5.03,2.979,3,1,56.73,2,3,3,131.715,0.067,-6.056,-1.881,4.175,2.088,0.2395,3.969,-3.969,3.772,-5.837,-5.837
RMC-4550,Allosteric SHP2 Inhibitor,DB15444,CC(C)NC1=NC(=C(C(=N1)C2=C(Cl)C=CC=C2Cl)S(=O)(=O)C3=CN=CC=C3)N,438.34,4.081,-5.539,1.2684,7,2,110.86,5,3,3,172.421,0.167,-5.946,-1.553,4.393,2.197,0.2276,3.75,-3.75,3.2,-5.638,-5.638
TNO155,SHP2 Inhibitor (Clinical with MRTX1133),DB15512,CC1=CN=C(C(=N1)N2CCC(CC2)(N)C3=NC=CC=C3)C4=CC=CC=C4Cl,379.895,3.955,-5.044,3.4338,5,1,67.93,3,4,3,163.791,0.286,-6.021,-1.693,4.328,2.164,0.231,3.857,-3.857,3.437,-6.588,-6.588
Sunitinib,Receptor TKI (pNET Approved),DB01268,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc23)c1C,398.482,3.335,-4.443,14.3707,3,3,77.23,7,3,2,169.73,0.364,-5.637,-1.684,3.953,1.977,0.2529,3.66,-3.66,3.389,-8.396,-8.396
Tipifarnib,Farnesyltransferase Inhibitor,DB04928,CN1C=CN=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C)C(=O)C=C4)C5=CC=C(C=C5)Cl,474.391,5.962,-7.013,0.046,2,0,39.82,4,5,5,201.216,0.111,-6.642,-2.394,4.248,2.124,0.2354,4.518,-4.518,4.805,-7.234,-7.234
Lonafarnib,Farnesyltransferase Inhibitor,DB06173,CC1=C(C=C(C=C1)Br)C2=C3CCC4=C(C=CC(=C4)Cl)N(C3=CC=C2)C(=O)CC5CCNCC5,523.902,7.231,-7.89,0.0068,2,1,32.34,3,5,3,208.825,0.321,-6.676,-2.457,4.219,2.11,0.237,4.567,-4.567,4.942,-5.115,-5.115
Larotrectinib,TRK Inhibitor,DB12805,OC1CCN(CC1)c2ccc(NC(=O)c3nn(C)cc3Nc4ccnc(c4)c5c(F)cccc5F)cc2,504.541,4.717,-6.136,0.3688,6,3,95.31,6,5,4,212.125,0.222,-6.033,-1.805,4.229,2.114,0.2365,3.919,-3.919,3.632,-9.348,-9.348
Entrectinib,TRK/ROS1 Inhibitor,DB12453,COc1cc(Cc2ccc(F)c(F)c2)c(Nc3cc(N4CCN(C)CC4)ccn3)nc1C(=O)NC5CCNCC5,551.642,3.331,-5.275,2.9288,8,3,94.65,8,5,3,232.493,0.414,-5.696,-1.353,4.343,2.172,0.2302,3.525,-3.525,2.86,-7.207,-7.207
Afatinib,Pan-ErbB TKI,DB08907,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(Cl)c(F)c3)ncnc2cc1O[C@H]4CCOC4,485.947,4.39,-5.646,1.0992,7,2,88.61,8,4,3,201.28,0.292,-6.008,-1.602,4.406,2.203,0.227,3.805,-3.805,3.287,-7.256,-7.256
Palbociclib,CDK4/6 Inhibitor,DB09073,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C5CCCC5)c1=O,447.543,2.966,-4.597,11.3136,8,2,105.04,5,5,3,191.809,0.458,-5.723,-1.295,4.429,2.214,0.2258,3.509,-3.509,2.78,-8.429,-8.429
Abemaciclib,CDK4/6 Inhibitor,DB12001,CCN1CCN(Cc2ccc(Nc3ncc(F)c(c4cc5n(C(C)C)c(C)cc5nc4)n3)cn2)CC1,488.615,4.798,-6.022,0.4644,7,1,75.0,7,5,4,210.769,0.407,-6.25,-1.738,4.512,2.256,0.2216,3.994,-3.994,3.535,-9.776,-9.776
Ribociclib,CDK4/6 Inhibitor,DB09075,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C5CCCC5,434.548,2.796,-4.41,16.9087,7,2,91.21,5,5,3,187.397,0.478,-5.689,-1.347,4.342,2.171,0.2303,3.518,-3.518,2.851,-8.141,-8.141
Vorinostat,HDAC Inhibitor,DB02546,ONC(=O)CCCCCCC(=O)Nc1ccccc1,264.325,2.471,-3.248,149.4644,3,3,78.43,8,1,1,112.522,0.429,-5.404,-1.475,3.929,1.964,0.2545,3.44,-3.44,3.012,-6.646,-6.646
Panobinostat,Pan-HDAC Inhibitor,DB06603,CC1=C(C=CC=C1)CCNCC2=CC=C(C=C2)/C=C/C(=O)NO,310.397,2.846,-3.835,45.3451,3,3,61.36,7,2,2,136.363,0.211,-5.539,-1.605,3.934,1.967,0.2542,3.572,-3.572,3.244,-7.944,-7.944
