name,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,E_HOMO,E_LUMO,Gap_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
MRTX1133,Direct KRAS-G12D Allosteric Inhibitor,SCLLZBIBSFTLIN-IFMUVJFISA-N,C#CC1=C(C=CC2=CC(=CC(=C21)C3=NC=C4C(=C3F)N=C(N=C4N5CC6CCC(C5)N6)OC[C@@]78CCCN7C[C@@H](C8)F)O)F,600.645,4.706,-6.569,0.1621,8,2,86.64,5,8,4,251.8,0.424,-9.618,-8.467,1.151,0.576,0.8684,9.042,-9.042,71.007
BI-2865,Pan-KRAS / G12D Inactive-State Inhibitor,MIUFORKWYHBPRW-HMFCALDFSA-N,C[C@@H]([C@@H]1CCCN1C)OC2=NC(=NC=C2)C3=NOC(=N3)[C@]4(CCCC5=C4C(=C(S5)N)C#N)C,465.583,3.546,-5.074,3.9223,10,1,126.98,5,5,3,196.149,0.522,-9.403,-7.958,1.445,0.723,0.692,8.68,-8.68,52.138
RMC-6236,RAS-MULTI (ON) Multi-Selective Inhibitor,FVICRBSEYSHKFY-JYQNNKODSA-N,CCN1C2=C3C=C(C=C2)C4=CSC(=N4)C[C@@H](C(=O)N5CCC[C@H](N5)C(=O)OCC(CC3=C1C6=C(N=CC(=C6)N7CCN(CC7)C)[C@H](C)OC)(C)C)NC(=O)[C@H]8C[C@@H]8C,811.066,5.61,-8.311,0.004,11,2,134.16,7,8,4,344.982,0.568,-9.691,-7.255,2.436,1.218,0.4105,8.473,-8.473,29.472
HRS-4642,Direct KRAS-G12D Selective Inhibitor,XLWBILUNGOIIFR-OWBPVYLJSA-N,CCC1=C(C=CC2=CC(=CC(=C21)C3=C(C4=C5C(=NC(=N4)OC[C@@]67CCCN6C[C@@H](C7)F)N8C[C@H]9CC[C@@H]([C@H]8COC5=N3)N9)F)O)F,632.687,5.048,-6.942,0.0723,9,2,95.87,5,9,4,263.273,0.5,-9.929,-7.975,1.954,0.977,0.5118,8.952,-8.952,41.018
JDQ-443,Switch II Pocket Allosteric Inhibitor,AZUYLZMQTIKGSC-UHFFFAOYSA-N,CC1=CC2=C(C=NN2)C(=C1Cl)C3=C(N(N=C3C4=CC5=C(C=C4)N(N=C5)C)C6CC7(C6)CN(C7)C(=O)C=C)C,526.044,5.6,-6.894,0.0672,4,1,84.63,4,7,5,224.423,0.31,-9.866,-7.206,2.66,1.33,0.3759,8.536,-8.536,27.387
Sotorasib,KRAS-G12C Covalent Inhibitor,NXQKSXLFSAEQCZ-SFHVURJKSA-N,C[C@H]1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C,560.605,4.481,-6.401,0.2226,7,1,104.45,5,5,4,234.968,0.3,-10.215,-8.787,1.428,0.714,0.7001,9.501,-9.501,63.193
Adagrasib,KRAS-G12C Covalent Inhibitor,PEMUGDMSUDYLHU-ZEQRLZLVSA-N,CN1CCC[C@H]1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN([C@H](C6)CC#N)C(=O)C(=C)F,604.13,4.733,-6.475,0.2022,8,0,88.83,7,6,3,255.647,0.438,-9.603,-7.888,1.715,0.857,0.5832,8.745,-8.745,44.606
BI-2852,Switch I/II Pan-KRAS Inhibitor,JYEQLXOWWLNVDX-PMERELPUSA-N,CN1C=C(N=C1)CN2C=CC3=C2C=C(C=C3)CNCC4=C(C5=CC=CC=C5N4)[C@@H]6C7=C(C=CC(=C7)O)C(=O)N6,516.605,4.733,-6.197,0.3284,4,4,99.9,7,7,6,224.472,0.161,-9.698,-6.738,2.96,1.48,0.3378,8.218,-8.218,22.815
MRTX1719,PRMT5-MTA Synthetic Lethal Inhibitor,BZKIOORWZAXIBA-UHFFFAOYSA-N,CN1C(=C(C=N1)C2=CC3=C(C=C2)C(=O)NN=C3CN)C4=C(C(=CC(=C4F)Cl)OC5CC5)C#N,464.888,3.655,-5.287,2.4021,6,2,122.61,5,5,4,191.902,0.217,-10.559,-8.29,2.269,1.135,0.4407,9.425,-9.425,39.149
RMC-7977,RAS-MULTI (ON) Tri-Complex Inhibitor,NBLZKEHVVJSAAY-UDSCPAMHSA-N,CCN1C2=C3C=C(C=C2)C4=CSC(=N4)C[C@@H](C(=O)N5CCC[C@H](N5)C(=O)OCC(CC3=C1C6=C(N=CC(=C6)N7CCN(CC7)C8CC8)[C@H](C)OC)(C)C)NC(=O)C9[C@H]1[C@@H]9COC1,865.114,5.379,-8.361,0.0038,12,2,143.39,8,10,4,367.179,0.596,-9.64,-7.016,2.624,1.312,0.3811,8.328,-8.328,26.426
