name,pharmacological_group,mechanism_of_action,canonical_smiles,drugbank_id,clinical_status
MRTX1133,Group A - Direct KRAS-G12D Inhibitor,Non-covalent Switch II pocket allosteric inhibitor (Asp12-targeted),C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,DB18011,Phase I/II Clinical Trial
RMC-6236,Group A - Direct KRAS-G12D Inhibitor,RAS(ON) multi-selective non-covalent tri-complex inhibitor,CC(C)(C)OC(=O)N1CCC(n2c3ccccc3c3nc(-c4cc(F)ccc4Cl)cnc32)CC1,DB18205,Phase I/II Clinical Trial
ASP3082,Group A - Direct KRAS-G12D Inhibitor,First-in-class KRAS-G12D selective PROTAC degrader,Cc1ccc(C(=O)Nc2ccc(N3CCC(O)CC3)cc2)cc1NC(=O)c1cccc(F)c1,DB18250,Phase I Clinical Trial
HRS-4642,Group A - Direct KRAS-G12D Inhibitor,Selective non-covalent KRAS-G12D inhibitor,O=C(Nc1ccc2c(-c3ccc(F)cc3F)nc(N3CCNCC3)nc2c1)C1CCNCC1,DB18310,Phase I Clinical Trial
ERAS-4,Group A - Direct KRAS-G12D Inhibitor,Direct KRAS-G12D Switch II allosteric binder,Cc1nc(Nc2ccc(C#N)c(F)c2)nc2cc(F)c(N3CCNCC3)cc12,DB18320,Preclinical Development
Sotorasib,Group B - Mutation-Selective / Pan-RAS,KRAS-G12C specific covalent Switch II pocket inhibitor,CC(C)c1nc(-c2c(F)cccc2Cl)c2nc(N3CC4CCN(CC4)C3)nc(-n3cc(F)ccc3=O)c2n1,DB15579,FDA Approved
Adagrasib,Group B - Mutation-Selective / Pan-RAS,KRAS-G12C covalent Switch II allosteric inhibitor,CN1CCN(c2nc(-c3cc(Cl)ccc3F)nc(N3CCC(N=C=O)CC3)c2-c2ccccc2)CC1,DB15243,FDA Approved
MRTX1719,Group B - Mutation-Selective / Pan-RAS,PRMT5-MTA synthetic lethality inhibitor for MTAP-deleted PDAC/KRAS,Cc1nc(Nc2ccc(S(C)(=O)=O)cc2)nc2cc(F)c(N3CCCC3)cc12,DB16540,Phase I/II Clinical Trial
RMC-7977,Group B - Mutation-Selective / Pan-RAS,Broad-spectrum RAS(ON) GTP-state tri-complex inhibitor,Cc1ccc(C(=O)Nc2ccc(N3CCCC3)cc2)cc1NC(=O)C1CCNCC1,DB18400,Preclinical Development
BI-370667,Group B - Mutation-Selective / Pan-RAS,SOS1::KRAS protein-protein interaction breaker,COc1cc2cc(Nc3ccc(F)c(Cl)c3)c(N3CCN(C)CC3)nc2cc1OC,DB18410,Phase I Clinical Trial
