drug_name,carrier_name,E_complex_Eh,E_carrier_Eh,E_drug_Eh,Delta_E_ads_Eh,Delta_E_ads_kcal_mol,E_disp_complex_Eh,Interfacial_Charge_Transfer_e
BI-2865,pristine,-202.635195884368,-107.7653505323,-94.835988498223,-0.033856853844980606,-21.25,0.0,0.4645
MRTX1133,pristine,-234.173301496634,-107.7653505323,-126.352121438317,-0.05582952601699276,-35.03,0.0,0.1894
HRS-4642,pristine,-242.513524973666,-107.7653505323,-134.713698414616,-0.03447602674998507,-21.63,0.0,0.4897
RMC-6236,pristine,-278.64436095716,-107.7653505323,-170.831987855673,-0.04702256918704961,-29.51,0.0,0.2879
JDQ-443,pristine,-213.242503036723,-107.7653505323,-105.445552227393,-0.03160027703000878,-19.83,0.0,0.0645
Adagrasib,pristine,-232.079542242464,-107.7653505323,-124.271687113662,-0.04250459650197058,-26.67,0.0,0.0771
Sotorasib,pristine,-226.617744021877,-107.7653505323,-118.818894734577,-0.03349875499998234,-21.02,0.0,0.1018
BI-2852,pristine,-214.183167878337,-107.7653505323,-106.398787253169,-0.019030092868007387,-11.94,0.0,0.3052
MRTX1719,pristine,-201.113537416861,-107.7653505323,-93.314622431746,-0.033564452814971446,-21.06,0.0,0.136
Cobimetinib,pristine,-198.386515036902,-107.7653505323,-90.599703502497,-0.02146100210501345,-13.47,0.0,0.4392
Selumetinib,pristine,-189.073959792614,-107.7653505323,-81.291835779203,-0.016773481110988087,-10.53,0.0,0.0943
Trametinib,pristine,-214.713524520681,-107.7653505323,-106.918858879664,-0.029315108717014482,-18.4,0.0,0.0979
Larotrectinib,pristine,-199.18600663268,-107.7653505323,-91.401074714312,-0.019581386068011852,-12.29,0.0,0.141
Binimetinib,pristine,-189.248170840411,-107.7653505323,-81.46781611885,-0.015004189261020429,-9.42,0.0,0.389
Erlotinib,pristine,-191.586590841428,-107.7653505323,-83.792930508025,-0.028309801103006293,-17.76,0.0,-0.0179
RMC-7977,pristine,-290.158498954835,-107.7653505323,-182.344116278006,-0.04903214452900784,-30.77,0.0,0.2651
Gemcitabine,pristine,-167.189595814663,-107.7653505323,-59.404752143522,-0.01949313884097137,-12.23,0.0,0.1784
5-Fluorouracil,pristine,-136.600840311241,-107.7653505323,-28.827557350502,-0.007932428439005434,-4.98,0.0,-0.0301
Abemaciclib,pristine,-214.857300642316,-107.7653505323,-107.063261902183,-0.028688207832999524,-18.0,0.0,0.2834
Capecitabine,pristine,-189.095494528616,-107.7653505323,-81.312396371452,-0.0177476248640005,-11.14,0.0,-0.0126
Palbociclib,pristine,-202.64931569581,-107.7653505323,-94.851608064294,-0.03235709921600005,-20.3,0.0,0.4748
Etoposide,pristine,-239.135224754332,-107.7653505323,-131.343459074453,-0.02641514757900154,-16.58,0.0,0.0268
Irinotecan,pristine,-234.072633049456,-107.7653505323,-126.277489024463,-0.029793492692988366,-18.7,0.0,0.112
Methotrexate,pristine,-205.620774780045,-107.7653505323,-97.792999847161,-0.06242440058400689,-39.17,0.0,0.268
Dacarbazine,pristine,-147.303269700013,-107.7653505323,-39.501045867916,-0.036873299797008485,-23.14,0.0,0.1362
Topotecan,pristine,-197.941130349364,-107.7653505323,-90.15011677208,-0.025663044983986083,-16.1,0.0,0.0385
Hydroxyurea,pristine,-125.889606501032,-107.7653505323,-18.112287446966,-0.0119685217659935,-7.51,0.0,-0.0306
Doxorubicin,pristine,-228.075445931666,-107.7653505323,-120.282872121339,-0.027223278026980324,-17.08,0.0,-0.0108
Mitomycin C,pristine,-181.110616647648,-107.7653505323,-73.307919571178,-0.037346544169963636,-23.44,0.0,0.0651
Leucovorin,pristine,-211.366706513522,-107.7653505323,-103.568186249842,-0.033169731379985024,-20.81,0.0,-0.0082
Pemetrexed,pristine,-200.43601047013,-107.7653505323,-92.642301662217,-0.028358275612987427,-17.8,0.0,0.2254
Paclitaxel,pristine,-294.29276902071,-107.7653505323,-186.479162832909,-0.04825565550100919,-30.28,0.0,0.159
Futibatinib,pristine,-201.458540326508,-107.7653505323,-93.66706570438,-0.026124089827987973,-16.39,0.0,0.0297
Capivasertib,pristine,-170.883450177449,-107.7653505323,-63.083943950378,-0.034155694770987566,-21.43,0.0,0.2296
Avapritinib,pristine,-214.878710098492,-107.7653505323,-107.092442145685,-0.02091742050700418,-13.13,0.0,0.4613
Trabectedin,pristine,-270.106563375678,-107.7653505323,-162.289474360851,-0.05173848252695734,-32.47,0.0,0.1629
Belumosudil,pristine,-189.973498175948,-107.7653505323,-82.180488494922,-0.02765914872600206,-17.36,0.0,0.4178
Pimicotinib,pristine,-183.868890292062,-107.7653505323,-76.079645351502,-0.02389440825999145,-14.99,0.0,0.2005
BI-2865,BP_doped,-200.677462002415,-105.807086009473,-94.835988498223,-0.034387494719027245,-21.58,0.0,0.6406
MRTX1133,BP_doped,-232.215051690741,-105.807086009473,-126.352121438317,-0.05584424295102508,-35.04,0.0,0.1459
HRS-4642,BP_doped,-240.555639671689,-105.807086009473,-134.713698414616,-0.034855247599978156,-21.87,0.0,0.2504
RMC-6236,BP_doped,-276.686217051107,-105.807086009473,-170.831987855673,-0.047143185961033396,-29.58,0.0,0.1315
JDQ-443,BP_doped,-211.284581140701,-105.807086009473,-105.445552227393,-0.0319429038349881,-20.04,0.0,0.2012
Sotorasib,BP_doped,-224.659670476131,-105.807086009473,-118.818894734577,-0.03368973208100101,-21.14,0.0,0.0468
Adagrasib,BP_doped,-230.122343583958,-105.807086009473,-124.271687113662,-0.04357046082301963,-27.34,0.0,0.1398
MRTX1719,BP_doped,-199.158228409782,-105.807086009473,-93.314622431746,-0.036519968562998883,-22.92,0.0,0.0775
BI-2852,BP_doped,-212.225362051631,-105.807086009473,-106.398787253169,-0.0194887889890083,-12.23,0.0,0.0998
Trametinib,BP_doped,-212.755803926199,-105.807086009473,-106.918858879664,-0.02985903706201043,-18.74,0.0,-0.0223
Selumetinib,BP_doped,-187.116293611022,-105.807086009473,-81.291835779203,-0.017371822346007093,-10.9,0.0,0.422
Cobimetinib,BP_doped,-196.429377490172,-105.807086009473,-90.599703502497,-0.022587978202011527,-14.17,0.0,0.508
Binimetinib,BP_doped,-187.29083225876,-105.807086009473,-81.46781611885,-0.01593013043699898,-10.0,0.0,0.0546
RMC-7977,BP_doped,-288.200325784753,-105.807086009473,-182.344116278006,-0.04912349727396759,-30.83,0.0,0.217
Larotrectinib,BP_doped,-197.228382494634,-105.807086009473,-91.401074714312,-0.020221770848991127,-12.69,0.0,0.2293
