E_total_Eh,E_total_kcal_mol,E_disp_Eh,E_HOMO_eV,E_LUMO_eV,Gap_eV,Dipole_Debye,Hardness_eta_eV,Chemical_Potential_mu_eV,Electronegativity_chi_eV,Electrophilicity_omega_eV,Softness_S_eV_inv,name,returncode,opt_xyz_path
-126.352121438317,-79287.15654769758,0.0,-9.6181,-8.4666,1.151451361387,0.0,0.5758,-9.0423,9.0423,71.0066,0.8684,MRTX1133,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\MRTX1133\xtbopt.xyz
-94.835988498223,-59510.483724525664,0.0,-9.4027,-7.9576,1.445113955006,0.0,0.7225,-8.6801,8.6801,52.1383,0.692,BI-2865,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\BI-2865\xtbopt.xyz
-170.831987855673,-107198.69528331944,0.0,-9.6911,-7.2551,2.435995041423,0.0,1.218,-8.4731,8.4731,29.4718,0.4105,RMC-6236,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\RMC-6236\xtbopt.xyz
-134.713698414616,-84534.12553530648,0.0,-9.9288,-7.9751,1.953633525927,0.0,0.9769,-8.952,8.952,41.0183,0.5118,HRS-4642,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\HRS-4642\xtbopt.xyz
-105.445552227393,-66168.08575543527,0.0,-9.8659,-7.2056,2.660320386106,0.0,1.3302,-8.5358,8.5358,27.3875,0.3759,JDQ-443,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\JDQ-443\xtbopt.xyz
-118.818894734577,-74559.98522544705,0.0,-10.215,-8.7866,1.428341211876,0.0,0.7142,-9.5008,9.5008,63.1932,0.7001,Sotorasib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Sotorasib\xtbopt.xyz
-124.271687113662,-77981.66424485049,0.0,-9.6027,-7.8881,1.714544371784,0.0,0.8573,-8.7454,8.7454,44.6063,0.5832,Adagrasib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Adagrasib\xtbopt.xyz
-106.398787253169,-66766.24978984246,0.0,-9.6976,-6.7377,2.959948825939,0.0,1.4799,-8.2176,8.2176,22.8149,0.3378,BI-2852,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\BI-2852\xtbopt.xyz
-93.314622431746,-58555.81206483372,0.0,-10.5594,-8.2904,2.269037943815,0.0,1.1345,-9.4249,9.4249,39.1488,0.4407,MRTX1719,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\MRTX1719\xtbopt.xyz
-182.344116278006,-114422.6652335534,0.0,-9.6398,-7.0155,2.624279991438,0.0,1.3121,-8.3277,8.3277,26.426,0.3811,RMC-7977,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\RMC-7977\xtbopt.xyz
-106.918858879664,-67092.59967614851,0.0,-10.3744,-7.9146,2.459749192257,0.0,1.2299,-9.1445,9.1445,33.9954,0.4065,Trametinib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Trametinib\xtbopt.xyz
-90.599703502497,-56852.17464500014,0.0,-10.2759,-7.6885,2.587372439058,0.0,1.2937,-8.9822,8.9822,31.1818,0.3865,Cobimetinib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Cobimetinib\xtbopt.xyz
-81.291835779203,-51011.399223889784,0.0,-10.0894,-7.8825,2.206923571868,0.0,1.1034,-8.9859,8.9859,36.5886,0.4531,Selumetinib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Selumetinib\xtbopt.xyz
-81.46781611885,-51121.828558831505,0.0,-10.1527,-7.8523,2.300404516756,0.0,1.1502,-9.0025,9.0025,35.2308,0.4347,Binimetinib,0,c:\Users\Andre\Proyectos doctorado\kras-pancreatic-gC3N4-ai\scratch\qm_calcs_molecules\Binimetinib\xtbopt.xyz
