compound_id,parent_scaffold,MW,LogP,PSA,Polarizability_alpha,Electrophilicity_omega,MW_norm,PSA_norm,Alpha_norm,Omega_norm,Predicted_Composite_DeltaG
VS_CANDIDATE_0286,Sulfonamido_Biphenyl,552.66,5.86,124.78,159.3,4.63,1.2059999999999997,1.1365714285714286,1.476666666666667,0.10833333333333325,-15.755301857142857
VS_CANDIDATE_0278,Sulfonamido_Biphenyl,510.86,4.72,112.06,154.49,5.93,0.8260000000000002,0.7731428571428572,1.3163333333333336,1.1916666666666664,-15.708644714285713
VS_CANDIDATE_0193,Tetrahydronaphthyridine,549.84,4.59,130.25,158.71,2.94,1.1803636363636367,1.292857142857143,1.4570000000000003,-1.3,-15.70234464935065
VS_CANDIDATE_0272,Sulfonamido_Biphenyl,529.86,4.05,102.74,159.37,5.15,0.9987272727272728,0.5068571428571427,1.479,0.541666666666667,-15.668392012987013
VS_CANDIDATE_0124,Triazine_Nanosheet_Binder,500.44,2.5,122.12,153.63,3.22,0.7312727272727273,1.0605714285714287,1.2876666666666665,-1.0666666666666667,-15.65142812987013
VS_CANDIDATE_0151,Tetrahydronaphthyridine,542.65,4.17,97.88,159.3,5.98,1.1149999999999998,0.3679999999999999,1.476666666666667,1.2333333333333338,-15.638449000000001
VS_CANDIDATE_0141,Triazine_Nanosheet_Binder,486.37,4.17,136.19,142.61,5.15,0.6033636363636364,1.4625714285714284,0.9203333333333338,0.541666666666667,-15.62105522077922
VS_CANDIDATE_0113,Triazine_Nanosheet_Binder,490.44,4.78,120.55,148.77,4.62,0.6403636363636364,1.0157142857142856,1.125666666666667,0.10000000000000009,-15.614922935064936
VS_CANDIDATE_0123,Triazine_Nanosheet_Binder,457.88,4.89,117.34,142.82,6.11,0.3443636363636363,0.924,0.9273333333333331,1.341666666666667,-15.600881363636363
VS_CANDIDATE_0173,Tetrahydronaphthyridine,509.47,2.6,100.88,155.25,5.1,0.8133636363636366,0.45371428571428557,1.3416666666666666,0.4999999999999997,-15.599173935064934
VS_CANDIDATE_0105,Triazine_Nanosheet_Binder,508.46,5.3,133.42,145.53,4.71,0.804181818181818,1.383428571428571,1.0176666666666667,0.175,-15.592888324675325
VS_CANDIDATE_0167,Tetrahydronaphthyridine,493.74,4.76,110.08,149.44,5.57,0.6703636363636365,0.7165714285714285,1.148,0.8916666666666669,-15.59010422077922
VS_CANDIDATE_0270,Sulfonamido_Biphenyl,543.16,3.73,83.46,161.68,6.03,1.1196363636363633,-0.04400000000000018,1.5560000000000003,1.2750000000000004,-15.585668636363636
VS_CANDIDATE_0252,Sulfonamido_Biphenyl,479.62,6.44,117.15,144.61,5.65,0.542,0.9185714285714287,0.9870000000000004,0.9583333333333337,-15.564361857142858
VS_CANDIDATE_0296,Sulfonamido_Biphenyl,532.59,4.72,91.9,156.66,6.21,1.0235454545454548,0.19714285714285731,1.3886666666666665,1.425,-15.56203425974026
VS_CANDIDATE_0171,Tetrahydronaphthyridine,513.69,3.89,86.69,156.94,5.59,0.8517272727272732,0.048285714285714224,1.398,0.9083333333333332,-15.544182155844156
VS_CANDIDATE_0155,Tetrahydronaphthyridine,527.3,2.89,123.9,150.16,3.69,0.975454545454545,1.1114285714285717,1.172,-0.675,-15.5325115974026
VS_CANDIDATE_0128,Triazine_Nanosheet_Binder,465.17,3.47,116.54,142.97,4.96,0.4106363636363638,0.9011428571428574,0.9323333333333333,0.3833333333333333,-15.51907435064935
VS_CANDIDATE_0149,Triazine_Nanosheet_Binder,511.04,4.72,103.95,151.04,4.88,0.8276363636363638,0.5414285714285715,1.2013333333333331,0.3166666666666666,-15.50100677922078
VS_CANDIDATE_0197,Tetrahydronaphthyridine,471.94,4.09,125.74,139.88,4.96,0.47218181818181815,1.164,0.8293333333333331,0.3833333333333333,-15.496122181818182
VS_CANDIDATE_0269,Sulfonamido_Biphenyl,517.58,5.01,117.76,151.42,2.62,0.8870909090909095,0.9360000000000002,1.2139999999999995,-1.5666666666666667,-15.484755090909092
VS_CANDIDATE_0111,Triazine_Nanosheet_Binder,458.93,2.85,133.52,133.25,6.08,0.35390909090909095,1.3862857142857146,0.6083333333333333,1.3166666666666669,-15.482023337662337
